,Nombre,Edad,Notas_Matematicas,Notas_Ingles,Notas_Computacion
102,Mr. David Miller Jr.,22.0,80,99.0,48.0
103,Robert Nelson,18.0,99,30.0,90.0
104,Cheryl Roman,24.0,75,96.0,62.0
105,Debbie Brown,25.0,30,51.0,30.0
106,Lisa Gonzalez,23.0,63,56.0,40.0
107,Daniel Reilly,25.0,92,78.0,79.0
108,Michael Sims,18.0,88,38.0,61.0
109,Jack Patel,23.0,38,44.0,58.0
110,Sydney Rios,20.0,66,70.0,32.0
111,Jennifer Rodriguez,18.0,89,64.0,70.0
112,Kylie Woodard,18.0,59,88.0,78.0
113,Carla Copeland,23.0,42,91.0,50.0
114,Andrea Welch,25.0,64,78.0,99.0
115,Amanda Brown,18.0,52,69.0,77.0
116,Alexa Schroeder,20.0,33,77.0,67.0
117,Lynn Sosa,21.0,50,34.0,90.0
118,Shelby Jackson,24.0,77,99.0,47.0
119,Janice Wolfe,23.0,92,69.0,81.0
120,Alexis Reed,24.0,85,61.0,45.0
121,Kimberly Kelly,20.0,94,31.0,86.0
122,Troy French,18.0,76,46.0,36.0
123,Barry Hardy,22.0,64,95.0,53.0
124,Caitlin Brown,20.0,45,95.0,64.0
125,Michael Cain,25.0,79,47.0,46.0
126,Jamie Jordan,23.0,66,98.0,98.0
127,William King,23.0,65,87.0,41.0
128,Nathaniel Walker,21.0,86,88.0,74.0
129,Thomas Aguirre,22.0,83,68.0,44.0
130,Whitney Werner,23.0,82,77.0,91.0
131,Bobby Wells,18.0,66,61.0,38.0
132,Heather Gallagher,19.0,48,77.0,63.0
133,Jennifer Mack,20.0,93,67.0,83.0
134,Cody Steele,25.0,54,90.0,73.0
135,John Hill,20.0,86,59.0,59.0
136,Veronica Waters,18.0,98,52.0,57.0
137,Lisa Morgan,24.0,81,82.0,75.0
138,Dr. Alexander Carpenter,19.0,71,96.0,60.0
139,Cassandra Chavez,24.0,34,62.0,66.0
140,Leonard Cain,23.0,50,40.0,89.0
141,Joseph Fields,18.0,74,52.0,36.0
142,Candice Hayes,24.0,30,61.0,70.0
143,Lindsey Young,21.0,66,69.0,44.0
144,Elizabeth Wallace,18.0,52,96.0,55.0
145,Isaiah Morris,23.0,66,30.0,43.0
146,Christopher Lee,18.0,89,45.0,74.0
147,Samantha Cohen,25.0,95,93.0,88.0
148,Michael Alvarado,25.0,41,50.0,94.0
149,Lisa Fernandez,18.0,96,77.0,83.0
150,Stephanie Mitchell,25.0,98,94.0,48.0
151,Sharon Stevens,18.0,66,55.0,31.0
152,Jill Crawford,22.0,79,64.0,69.0
153,Candace Harrington,19.0,40,79.0,36.0
154,Monica Turner,19.0,39,70.0,63.0
155,Raymond Moore,21.0,48,31.0,54.0
156,Edward James,24.0,85,63.0,51.0
157,Alexandra Howell,19.0,95,61.0,99.0
158,John Sanders,21.0,91,43.0,100.0
159,Megan Cunningham,23.0,52,70.0,72.0
160,David Caldwell,19.0,39,43.0,44.0
161,David Robles,23.0,50,34.0,64.0
162,Michael Gomez,20.0,35,37.0,37.0
163,Angela Chang,18.0,54,47.0,86.0
164,Lauren Hardin,21.0,97,77.0,92.0
165,Martin Price,21.0,91,65.0,42.0
166,Duane Young,19.0,64,88.0,67.0
167,Lindsey Mcguire,23.0,49,51.0,82.0
168,Alexander Graves,22.0,63,88.0,43.0
169,Richard Avery,25.0,75,36.0,46.0
170,Bryan Davis,23.0,49,38.0,38.0
171,William Myers,25.0,42,32.0,38.0
172,Tracy Lee,22.0,54,82.0,50.0
173,Justin Johnson,19.0,62,45.0,48.0
174,Austin Hoffman,23.0,30,59.0,65.0
175,Jason Gomez,24.0,41,30.0,54.0
176,Alison Coleman,18.0,86,50.0,43.0
177,William Griffin,21.0,68,87.0,45.0
178,Mikayla Martinez,23.0,93,36.0,85.0
179,James Liu,25.0,97,72.0,76.0
180,Erika Miller,21.0,44,64.0,39.0
181,Robert Mccarthy,25.0,46,42.0,100.0
182,Francisco Vasquez,19.0,81,40.0,85.0
183,Cory Moore,19.0,89,65.0,57.0
184,Joseph George,23.0,30,95.0,69.0
185,Taylor Levy,23.0,53,65.0,76.0
186,Jeff Miller,19.0,40,32.0,49.0
187,Keith Smith,23.0,51,34.0,44.0
188,Eric Yang,22.0,36,49.0,89.0
189,Larry Fields,21.0,81,38.0,89.0
190,Sheila Harmon,18.0,48,45.0,61.0
191,Danielle Reynolds,22.0,39,87.0,55.0
192,Jennifer Moreno,19.0,36,92.0,62.0
193,Michael Bridges,21.0,65,100.0,91.0
194,Douglas Sutton,24.0,58,97.0,70.0
195,John Kennedy,21.0,50,67.0,93.0
196,Billy Moore,21.0,93,80.0,45.0
197,Dr. David Melendez DDS,21.0,90,91.0,83.0
198,James Gaines,22.0,43,43.0,52.0
199,Christopher Sullivan,25.0,97,30.0,96.0
200,Miguel Larsen,20.0,50,54.0,93.0
201,Melissa Wood,18.0,92,90.0,100.0
202,Krista Santos,25.0,55,60.0,83.0
203,Jacob Green,25.0,32,79.0,68.0
204,Carmen Costa,18.0,84,40.0,33.0
205,Joseph Savage,25.0,87,43.0,33.0
206,Jennifer Simmons,19.0,100,64.0,43.0
207,Leslie Sanchez,25.0,88,47.0,88.0
208,Michael Cummings,20.0,72,36.0,88.0
209,Frederick Petersen,23.0,33,75.0,95.0
210,Susan Hill,25.0,52,87.0,62.0
211,Susan Mcgee,24.0,35,92.0,71.0
212,Casey West,20.0,34,59.0,66.0
213,Allen Rhodes,25.0,69,60.0,62.0
214,Melissa Diaz,19.0,37,72.0,36.0
215,Raymond Jacobson,19.0,62,71.0,59.0
216,Gregory Henderson,21.0,43,30.0,71.0
217,George Strickland,20.0,46,39.0,33.0
218,Michael Ortiz,19.0,53,40.0,31.0
219,Kyle Johnson,23.0,93,57.0,64.0
220,James Ward,25.0,51,91.0,63.0
221,Christine Murphy,20.0,57,99.0,73.0
222,Justin Schmitt,23.0,45,88.0,53.0
223,Melanie Mitchell,22.0,46,69.0,84.0
224,Michael Haynes,25.0,55,87.0,47.0
225,Kara Delgado,20.0,68,99.0,84.0
226,Joseph Gibbs,23.0,69,34.0,58.0
227,John Benjamin,21.0,51,85.0,52.0
228,Jessica Ramirez,22.0,89,60.0,50.0
229,Jeffery Durham,21.0,100,42.0,71.0
230,Melissa Frazier,24.0,43,50.0,68.0
231,Valerie Randolph,23.0,55,99.0,93.0
232,Wesley Benton,20.0,37,66.0,37.0
233,Mary Wright,22.0,63,82.0,74.0
234,Donna Richards,18.0,39,41.0,100.0
235,Catherine Cooper,23.0,81,55.0,39.0
236,Bradley Wright,24.0,67,84.0,52.0
237,Jamie Rivera,25.0,89,95.0,41.0
238,Wendy Williams,24.0,35,41.0,47.0
239,Alyssa Pineda,22.0,97,51.0,34.0
240,Roger Jones,23.0,45,54.0,57.0
241,Christopher Stewart,24.0,47,72.0,93.0
242,Justin Tran,22.0,72,73.0,37.0
243,Justin Adams,22.0,46,53.0,85.0
244,Jennifer Morris,22.0,42,50.0,91.0
245,Phillip Savage,25.0,89,60.0,76.0
246,Gary Ross,18.0,69,38.0,38.0
247,Michelle Hamilton,18.0,35,51.0,72.0
248,Karen Stein,22.0,98,60.0,56.0
249,Marc Delacruz,23.0,49,92.0,60.0
250,Kara Bush,25.0,71,87.0,50.0
251,Wendy Powell,20.0,67,69.0,58.0
252,Erica Hines,23.0,77,53.0,99.0
253,Andrea Campbell,21.0,39,56.0,69.0
254,Kyle Brown,18.0,79,96.0,74.0
255,Tamara Anthony,23.0,49,93.0,45.0
256,Douglas Wood,18.0,60,42.0,69.0
257,Joseph Moore,19.0,70,74.0,62.0
258,Gordon Smith,22.0,63,77.0,47.0
259,Todd Burton,18.0,47,65.0,40.0
260,Matthew Barber,22.0,30,63.0,59.0
261,Michael Miller,24.0,91,92.0,55.0
262,Douglas Brennan,18.0,100,40.0,62.0
263,Ricky Williams,18.0,95,62.0,35.0
264,Jesse Gibbs,23.0,80,69.0,41.0
265,Robert Johnson Jr.,20.0,69,51.0,91.0
266,Calvin Gomez Jr.,18.0,62,95.0,75.0
267,David Johnson,18.0,48,82.0,52.0
268,Wanda Howell,24.0,48,50.0,45.0
269,Katrina Castro,19.0,63,95.0,65.0
270,Desiree Taylor,22.0,70,65.0,54.0
271,Julia Simon,19.0,48,31.0,50.0
272,Laurie Johnson,25.0,55,32.0,56.0
273,Brandon Mays,18.0,70,76.0,67.0
274,Kent Andrade,20.0,51,30.0,46.0
275,Jordan Malone,24.0,54,70.0,38.0
276,Thomas Woods,22.0,90,37.0,42.0
277,Amy Collins,21.0,76,99.0,59.0
278,Jacob Brandt,18.0,41,53.0,46.0
279,Mark Smith,21.0,49,96.0,57.0
280,Amy Pham,20.0,96,41.0,59.0
281,Amanda Carroll,23.0,55,94.0,44.0
282,Rebecca Russell,22.0,58,35.0,73.0
283,Brian Brown,23.0,65,62.0,88.0
284,Christina Torres,19.0,60,72.0,30.0
285,Kayla King,24.0,45,59.0,70.0
286,Dawn Stanton,19.0,36,60.0,79.0
287,Ashley Davis,22.0,80,62.0,46.0
288,Matthew Rollins,19.0,87,80.0,51.0
289,Steven Savage,23.0,45,97.0,47.0
290,Ryan Rodriguez,18.0,73,93.0,72.0
291,Joy Olson,18.0,41,77.0,89.0
292,Robert Jenkins,25.0,42,94.0,45.0
293,Angela Watson,18.0,54,95.0,94.0
294,Cindy Lowery,20.0,74,41.0,32.0
295,Michael Jones,22.0,33,78.0,54.0
296,John Preston,21.0,30,76.0,59.0
297,Brittney Merritt,24.0,94,75.0,61.0
298,Scott Mitchell,18.0,56,73.0,40.0
299,Jeremy Torres,24.0,38,75.0,73.0
300,Joseph Griffin,19.0,77,30.0,50.0
301,Cindy Washington,24.0,48,71.0,38.0
302,Pamela Rhodes,20.0,70,74.0,44.0
303,Randy Mills,18.0,59,60.0,59.0
304,Lauren Brooks,19.0,69,97.0,35.0
305,Robert Green,24.0,92,97.0,59.0
306,Carol Walsh,18.0,48,83.0,98.0
307,Amber Schneider,24.0,71,54.0,80.0
308,Kevin Perez MD,18.0,47,40.0,94.0
309,Sherry Smith,25.0,42,66.0,62.0
310,James Fitzgerald,23.0,56,97.0,49.0
311,Aaron Tucker,18.0,52,63.0,75.0
312,Jennifer Ford,21.0,51,75.0,66.0
313,Amanda Miller,23.0,78,38.0,98.0
314,Bobby Mckinney,18.0,80,55.0,96.0
315,Carrie Medina,18.0,58,68.0,70.0
316,Brooke Davis,19.0,85,65.0,89.0
317,Jay Weber,21.0,47,79.0,35.0
318,Chloe Gentry,21.0,77,33.0,89.0
319,Erica Howard,19.0,68,34.0,78.0
320,Michael Reed,24.0,81,77.0,79.0
321,Charles Barnett,20.0,67,50.0,66.0
322,Victoria Graves,18.0,76,51.0,42.0
323,Dawn Tran,18.0,72,79.0,54.0
324,Randy Davis PhD,23.0,89,58.0,89.0
325,Christine Mcgee,24.0,54,83.0,78.0
326,Jessica Rodriguez,22.0,97,33.0,78.0
327,Pamela Daniels,23.0,51,37.0,88.0
328,Alexandra Abbott,24.0,53,81.0,51.0
329,Shelia Dalton,21.0,96,90.0,87.0
330,Chloe Adams,22.0,96,34.0,88.0
331,Haley Kim,19.0,98,97.0,81.0
332,Anne Walker,24.0,83,92.0,96.0
333,William Craig,18.0,70,72.0,45.0
334,Kristen Moore,25.0,46,35.0,94.0
335,James Woods,19.0,64,77.0,100.0
336,Lisa Fisher,25.0,35,79.0,99.0
337,Brandon Thompson,25.0,39,40.0,45.0
338,Tammy Wood,22.0,65,79.0,92.0
339,Amanda Anderson,22.0,75,52.0,99.0
340,Ruth Rocha,25.0,43,48.0,83.0
341,Patrick Garcia,25.0,67,66.0,45.0
342,Zoe Case,20.0,63,57.0,66.0
343,Ashley Montgomery,19.0,74,56.0,46.0
344,Michaela Shelton,22.0,90,67.0,40.0
345,Sarah Williams,23.0,64,85.0,99.0
346,Mary Weaver,20.0,63,64.0,32.0
347,Yvonne Kerr,20.0,86,51.0,67.0
348,Julie Whitney,18.0,65,64.0,47.0
349,Kyle Martinez,19.0,38,68.0,58.0
350,William Martin,22.0,71,97.0,93.0
351,Bonnie Watkins,19.0,68,100.0,57.0
352,Michael Ferguson,18.0,72,70.0,43.0
353,Amber Aguilar,18.0,35,60.0,85.0
354,Julie Lopez,21.0,100,74.0,51.0
355,John Hill,24.0,44,61.0,82.0
356,Katie Coleman,23.0,100,30.0,92.0
357,Ashley Green,23.0,65,36.0,33.0
358,Stephanie Cunningham,19.0,48,42.0,65.0
359,Sophia Davis,21.0,45,86.0,95.0
360,Dawn Torres,23.0,35,66.0,65.0
361,Philip Howe,23.0,67,74.0,62.0
362,Michael Whitaker,19.0,71,35.0,34.0
363,Todd Ayala,20.0,66,85.0,76.0
364,Mark Lozano,25.0,82,78.0,78.0
365,Christina Hernandez,25.0,67,99.0,52.0
366,Tara Henson,20.0,98,64.0,42.0
367,Adrienne Cuevas,19.0,36,100.0,77.0
368,Kevin Nelson,21.0,30,96.0,32.0
369,Carol Hall,18.0,47,41.0,53.0
370,Jessica Hill,20.0,36,57.0,31.0
371,Daniel James,23.0,46,84.0,54.0
372,Jennifer Black,24.0,83,57.0,52.0
373,Robert James,25.0,48,75.0,61.0
374,Melissa Pearson,25.0,47,61.0,92.0
375,Richard Avery,24.0,77,98.0,34.0
376,Stephen Conner,18.0,46,91.0,58.0
377,Tara Perry,20.0,96,79.0,55.0
378,Hannah Graham,18.0,68,30.0,69.0
379,Matthew Zhang,20.0,61,66.0,48.0
380,Alan Evans,19.0,93,50.0,91.0
381,Brian Hall,21.0,87,84.0,88.0
382,Chris Hill,25.0,59,51.0,84.0
383,Andrea Thomas,22.0,57,71.0,63.0
384,Nathan Simmons,25.0,68,99.0,35.0
385,Jesse Lewis,18.0,42,100.0,67.0
386,Jennifer Mathews,19.0,47,97.0,88.0
387,Scott Brandt,18.0,88,30.0,46.0
388,Jennifer Rios,20.0,57,71.0,98.0
389,Whitney Garcia,24.0,67,54.0,60.0
390,James Davidson,18.0,43,87.0,89.0
391,Deborah Gonzales,25.0,64,99.0,30.0
392,Sara Duke,18.0,36,40.0,38.0
393,Michael Andrade,23.0,89,88.0,80.0
394,Joseph Butler,25.0,87,38.0,69.0
395,Jennifer Phelps,19.0,85,63.0,85.0
396,Daniel Barrett,22.0,52,47.0,52.0
397,Jason Daniels,21.0,100,70.0,53.0
398,Jacqueline Bender,22.0,60,34.0,77.0
399,Jason Flores,18.0,62,97.0,97.0
400,Rebecca Garcia,22.0,52,99.0,93.0
401,Laura Larson,21.0,56,39.0,83.0
402,Stephen Moore,24.0,52,70.0,58.0
403,Mrs. Lori Whitney,23.0,83,31.0,56.0
404,Jeffrey May,20.0,40,87.0,43.0
405,Nicole Baker,24.0,56,65.0,38.0
406,David Bowman,23.0,66,96.0,58.0
407,Jamie Castillo,21.0,49,30.0,38.0
408,Kristina Lane,24.0,43,71.0,77.0
409,Eric Palmer,23.0,70,94.0,84.0
410,Richard Young,22.0,87,63.0,57.0
411,Jessica Walker,23.0,93,53.0,70.0
412,Ryan Edwards,20.0,90,64.0,30.0
413,Stephanie Adkins,22.0,94,36.0,97.0
414,Robert Frazier,18.0,38,44.0,86.0
415,Charles Rivera,25.0,41,53.0,42.0
416,Jill Baldwin,20.0,83,41.0,86.0
417,Joanne Moore,21.0,96,70.0,88.0
418,Joseph Ford,21.0,83,83.0,91.0
419,Levi Johns,18.0,33,33.0,70.0
420,Laura Glass,23.0,94,100.0,54.0
421,Ryan Stewart,20.0,89,38.0,64.0
422,Ashley Butler,19.0,32,50.0,56.0
423,Rhonda Holloway,19.0,82,54.0,40.0
424,Michaela Kim,22.0,62,65.0,59.0
425,Benjamin Stout PhD,23.0,93,63.0,30.0
426,Benjamin Downs,25.0,87,78.0,90.0
427,Steven Robertson,22.0,90,91.0,76.0
428,Meghan Greene,20.0,85,44.0,59.0
429,Ricardo Wilcox,19.0,94,61.0,72.0
430,Jeffery Torres,23.0,88,78.0,43.0
431,Katherine Long,25.0,41,53.0,54.0
432,Savannah Ramirez,24.0,68,49.0,98.0
433,Jeffrey Jones,22.0,53,56.0,91.0
434,Andrew Powell,24.0,65,74.0,37.0
435,Louis Sanchez,22.0,67,35.0,34.0
436,Jason Parker,23.0,96,98.0,48.0
437,Joanna Brown,21.0,52,54.0,51.0
438,Christopher Jackson,23.0,39,62.0,100.0
439,Jose Wagner,24.0,87,70.0,42.0
440,Robert Mcclure,20.0,70,94.0,81.0
441,Michael Clark,25.0,76,91.0,36.0
442,Leslie Hawkins,19.0,81,55.0,82.0
443,Cynthia Cherry,19.0,49,92.0,55.0
444,Kyle Ellis,22.0,43,89.0,92.0
445,James Mcguire,24.0,67,91.0,31.0
446,Elizabeth Glass,25.0,40,40.0,46.0
447,David Patel,22.0,91,94.0,44.0
448,Christopher Hogan,23.0,32,61.0,98.0
449,Jason Padilla,22.0,47,33.0,36.0
450,Vincent Cameron,22.0,53,86.0,38.0
451,Jennifer Moore,19.0,38,90.0,42.0
452,Julie Mayer,20.0,77,92.0,34.0
453,Jessica Reynolds,22.0,73,32.0,66.0
454,Alan York,22.0,39,71.0,59.0
455,Brandon Hopkins,25.0,88,44.0,31.0
456,Karen Vasquez,21.0,70,77.0,72.0
457,Jessica Kim,20.0,62,39.0,62.0
458,Sandra Khan,23.0,95,64.0,59.0
459,Brittany Cooper,22.0,51,89.0,69.0
460,Jonathan Turner,19.0,62,33.0,72.0
461,Jesus Stevens,25.0,91,46.0,56.0
462,Brittany Miller,25.0,74,94.0,60.0
463,Kathleen Martin,20.0,97,98.0,97.0
464,Kelly Smith,18.0,99,47.0,63.0
465,Bonnie Bryant,25.0,92,70.0,57.0
466,Malik Whitehead,20.0,54,39.0,30.0
467,Rachel Cunningham,19.0,41,75.0,78.0
468,Jacqueline Hill,24.0,51,75.0,30.0
469,Sierra Richardson,22.0,77,45.0,58.0
470,Molly Hayes,19.0,83,47.0,44.0
471,Kenneth Peck,19.0,81,52.0,67.0
472,Timothy Smith,22.0,47,43.0,49.0
473,Brian Roberts,21.0,95,33.0,53.0
474,Mackenzie Bridges,21.0,53,73.0,88.0
475,Francisco Short,24.0,57,80.0,46.0
476,Richard Johnson,23.0,34,96.0,73.0
477,Michael Thomas,24.0,50,77.0,99.0
478,Glenn Scott,19.0,77,91.0,69.0
479,Margaret Peterson,21.0,63,90.0,75.0
480,Tammy Gray,20.0,79,70.0,48.0
481,Jacob Hall,22.0,81,50.0,65.0
482,Randall Lucas,19.0,60,46.0,70.0
483,Eric Roberts,24.0,38,51.0,48.0
484,Timothy Yoder,18.0,93,72.0,35.0
485,Dean Clements,18.0,59,100.0,91.0
486,John Randall,22.0,66,84.0,32.0
487,Tim Chen,23.0,82,82.0,89.0
488,Warren Klein,25.0,32,75.0,64.0
489,Jason Le,20.0,86,64.0,50.0
490,Connor Martinez,19.0,88,58.0,75.0
491,Brittany Lopez,25.0,65,66.0,39.0
492,Jessica Johnston PhD,21.0,81,73.0,78.0
493,Jessica Hernandez,25.0,40,91.0,66.0
494,Natasha Hudson,20.0,49,34.0,38.0
495,Ashley Adams,18.0,42,53.0,67.0
496,Courtney Thomas,21.0,95,67.0,56.0
497,Heather Perez,24.0,86,36.0,48.0
498,Alexander Baldwin,22.0,86,40.0,72.0
499,Joseph Reyes,20.0,76,100.0,61.0
500,Victoria Webb,21.0,43,31.0,54.0
501,Michael Gonzales,20.0,49,42.0,46.0
502,Mary Andrade,22.0,91,94.0,64.0
503,Jose Garrett,21.0,72,34.0,62.0
504,Jeremy Mclean,18.0,63,86.0,69.0
505,David Peck,22.0,65,47.0,94.0
506,Frederick English,24.0,81,35.0,67.0
507,John Pollard,25.0,33,39.0,38.0
508,Angela Smith,23.0,58,93.0,55.0
509,Andrea Jones,25.0,85,52.0,40.0
510,Theresa Bell,23.0,33,99.0,40.0
511,Dr. Benjamin Martinez DDS,19.0,31,68.0,48.0
512,Deborah Brock,25.0,72,33.0,79.0
513,Karina Bailey,18.0,52,50.0,61.0
514,John Smith,22.0,44,55.0,97.0
515,Victoria Mcdonald,25.0,48,61.0,62.0
516,Jessica Cunningham,19.0,95,73.0,78.0
517,Daniel Wilson,19.0,94,62.0,87.0
518,Jennifer Smith,21.0,88,76.0,73.0
519,Eddie Martin,18.0,92,32.0,49.0
520,Isabel Weber,24.0,84,30.0,86.0
521,Amber Williams,22.0,50,96.0,40.0
522,Linda Beck,24.0,31,44.0,98.0
523,Chad Paul,19.0,61,60.0,53.0
524,Wendy Fleming,25.0,56,77.0,94.0
525,Heather Freeman,20.0,33,62.0,40.0
526,Michelle Hughes,21.0,57,94.0,59.0
527,John Smith,22.0,60,82.0,76.0
528,Brianna Johns,18.0,45,63.0,45.0
529,Megan Roberts,25.0,72,50.0,34.0
530,Jason Sweeney,24.0,64,56.0,89.0
531,Timothy Patterson,24.0,33,60.0,45.0
532,Timothy Morales,20.0,58,53.0,80.0
533,Jodi Frost,21.0,40,86.0,82.0
534,Amanda Larsen,18.0,30,35.0,52.0
535,Matthew Hamilton,18.0,31,95.0,69.0
536,David Thompson,23.0,54,95.0,38.0
537,Crystal Zimmerman,24.0,93,39.0,71.0
538,Carolyn Wells,25.0,35,37.0,96.0
539,Mike Mueller,20.0,90,57.0,82.0
540,Kimberly Cruz,18.0,93,49.0,65.0
541,Austin Jones,23.0,79,58.0,61.0
542,Natasha Simpson,18.0,41,80.0,77.0
543,Janice Alvarado,24.0,38,76.0,64.0
544,Dylan Carter,18.0,90,64.0,66.0
545,Timothy Fleming,25.0,63,93.0,79.0
546,Connor Jackson,23.0,51,97.0,53.0
547,Mary Odom,23.0,98,80.0,95.0
548,Sierra Leonard,18.0,84,44.0,60.0
549,Alexis Sanders,20.0,52,57.0,96.0
550,Derrick Sexton,25.0,58,44.0,98.0
551,Emily Newton,25.0,40,95.0,58.0
552,Bob Williams,20.0,33,53.0,38.0
553,Jonathan Lee,23.0,49,89.0,94.0
554,Mike Leonard,23.0,72,63.0,45.0
555,Curtis Adams,18.0,87,87.0,100.0
556,Brian Scott,19.0,40,54.0,81.0
557,Richard Nelson,18.0,36,48.0,93.0
558,Michelle Jensen,23.0,82,90.0,42.0
559,Jacob Church,22.0,65,100.0,97.0
560,Paul Lowe,22.0,79,59.0,79.0
561,Calvin Johnson,21.0,89,99.0,53.0
562,Charles Carter,21.0,87,33.0,76.0
563,Omar Baker,23.0,88,72.0,80.0
564,Christopher Christensen,22.0,51,35.0,99.0
565,Katherine Love,25.0,80,63.0,32.0
566,Nicole Bell,20.0,59,59.0,61.0
567,Matthew Gallegos,20.0,78,83.0,90.0
568,Brian Higgins,22.0,70,56.0,75.0
569,Micheal Everett,25.0,53,95.0,40.0
570,William Lang,22.0,34,39.0,47.0
571,Curtis Morris,19.0,86,60.0,67.0
572,William Ramirez,23.0,95,45.0,72.0
