Nombre,Edad,Notas_Matematicas,Notas_Ingles,Notas_Computacion
Jeremy Brock,22.0,93,75.0,35.0
Sara Simon,21.0,99,53.0,62.0
Amber Johnson,21.0,30,44.0,84.0
Megan Johnson,22.0,94,71.0,46.0
Jamie Smith,23.0,68,39.0,41.0
Elizabeth Li,18.0,50,98.0,95.0
Kim Adams,19.0,39,87.0,99.0
Sandra Reyes,18.0,83,49.0,46.0
Thomas Snyder,19.0,48,33.0,58.0
Tiffany Pace,18.0,93,81.0,51.0
Erica Wood,18.0,53,96.0,30.0
Kristina Morton,24.0,73,36.0,53.0
Mr. David Miller Jr.,22.0,80,99.0,48.0
Robert Nelson,18.0,99,30.0,90.0
Cheryl Roman,24.0,75,96.0,62.0
Debbie Brown,25.0,30,51.0,30.0
Lisa Gonzalez,23.0,63,56.0,40.0
Daniel Reilly,25.0,92,78.0,79.0
Michael Sims,18.0,88,38.0,61.0
Jack Patel,23.0,38,44.0,58.0
Sydney Rios,20.0,66,70.0,32.0
Jennifer Rodriguez,18.0,89,64.0,70.0
Kylie Woodard,18.0,59,88.0,78.0
Carla Copeland,23.0,42,91.0,50.0
Andrea Welch,25.0,64,78.0,99.0
Amanda Brown,18.0,52,69.0,77.0
Alexa Schroeder,20.0,33,77.0,67.0
Lynn Sosa,21.0,50,34.0,90.0
Shelby Jackson,24.0,77,99.0,47.0
Janice Wolfe,23.0,92,69.0,81.0
Alexis Reed,24.0,85,61.0,45.0
Kimberly Kelly,20.0,94,31.0,86.0
Troy French,18.0,76,46.0,36.0
Barry Hardy,22.0,64,95.0,53.0
Caitlin Brown,20.0,45,95.0,64.0
Michael Cain,25.0,79,47.0,46.0
Jamie Jordan,23.0,66,98.0,98.0
William King,23.0,65,87.0,41.0
Nathaniel Walker,21.0,86,88.0,74.0
Thomas Aguirre,22.0,83,68.0,44.0
Whitney Werner,23.0,82,77.0,91.0
Bobby Wells,18.0,66,61.0,38.0
Heather Gallagher,19.0,48,77.0,63.0
Jennifer Mack,20.0,93,67.0,83.0
Cody Steele,25.0,54,90.0,73.0
John Hill,20.0,86,59.0,59.0
Veronica Waters,18.0,98,52.0,57.0
Lisa Morgan,24.0,81,82.0,75.0
Dr. Alexander Carpenter,19.0,71,96.0,60.0
Cassandra Chavez,24.0,34,62.0,66.0
Leonard Cain,23.0,50,40.0,89.0
Joseph Fields,18.0,74,52.0,36.0
Candice Hayes,24.0,30,61.0,70.0
Lindsey Young,21.0,66,69.0,44.0
Elizabeth Wallace,18.0,52,96.0,55.0
Isaiah Morris,23.0,66,30.0,43.0
Christopher Lee,18.0,89,45.0,74.0
Samantha Cohen,25.0,95,93.0,88.0
Michael Alvarado,25.0,41,50.0,94.0
Lisa Fernandez,18.0,96,77.0,83.0
Stephanie Mitchell,25.0,98,94.0,48.0
Sharon Stevens,18.0,66,55.0,31.0
Jill Crawford,22.0,79,64.0,69.0
Candace Harrington,19.0,40,79.0,36.0
Monica Turner,19.0,39,70.0,63.0
Raymond Moore,21.0,48,31.0,54.0
Edward James,24.0,85,63.0,51.0
Alexandra Howell,19.0,95,61.0,99.0
John Sanders,21.0,91,43.0,100.0
Megan Cunningham,23.0,52,70.0,72.0
David Caldwell,19.0,39,43.0,44.0
David Robles,23.0,50,34.0,64.0
Michael Gomez,20.0,35,37.0,37.0
Angela Chang,18.0,54,47.0,86.0
Lauren Hardin,21.0,97,77.0,92.0
Martin Price,21.0,91,65.0,42.0
Duane Young,19.0,64,88.0,67.0
Lindsey Mcguire,23.0,49,51.0,82.0
Alexander Graves,22.0,63,88.0,43.0
Richard Avery,25.0,75,36.0,46.0
Bryan Davis,23.0,49,38.0,38.0
William Myers,25.0,42,32.0,38.0
Tracy Lee,22.0,54,82.0,50.0
Justin Johnson,19.0,62,45.0,48.0
Austin Hoffman,23.0,30,59.0,65.0
Jason Gomez,24.0,41,30.0,54.0
Alison Coleman,18.0,86,50.0,43.0
William Griffin,21.0,68,87.0,45.0
Mikayla Martinez,23.0,93,36.0,85.0
James Liu,25.0,97,72.0,76.0
Erika Miller,21.0,44,64.0,39.0
Robert Mccarthy,25.0,46,42.0,100.0
Francisco Vasquez,19.0,81,40.0,85.0
Cory Moore,19.0,89,,57.0
Joseph George,23.0,30,95.0,69.0
Taylor Levy,23.0,53,65.0,76.0
Jeff Miller,19.0,40,32.0,49.0
Keith Smith,23.0,51,34.0,44.0
Eric Yang,22.0,36,49.0,89.0
Larry Fields,21.0,81,38.0,89.0
Sheila Harmon,18.0,48,45.0,61.0
Danielle Reynolds,22.0,39,87.0,55.0
Jennifer Moreno,19.0,36,92.0,62.0
Michael Bridges,21.0,65,100.0,91.0
Douglas Sutton,24.0,58,97.0,70.0
John Kennedy,21.0,50,67.0,93.0
Billy Moore,21.0,93,80.0,45.0
Dr. David Melendez DDS,21.0,90,91.0,83.0
James Gaines,22.0,43,43.0,52.0
Christopher Sullivan,25.0,97,30.0,96.0
Miguel Larsen,20.0,50,54.0,93.0
Melissa Wood,18.0,92,90.0,100.0
Krista Santos,25.0,55,60.0,83.0
Jacob Green,25.0,32,79.0,68.0
Carmen Costa,18.0,84,40.0,33.0
Joseph Savage,25.0,87,43.0,33.0
Jennifer Simmons,19.0,100,64.0,43.0
Leslie Sanchez,25.0,88,47.0,88.0
Michael Cummings,20.0,72,36.0,88.0
Frederick Petersen,23.0,33,75.0,95.0
Susan Hill,25.0,52,87.0,62.0
Susan Mcgee,24.0,35,92.0,71.0
Casey West,20.0,34,59.0,66.0
Allen Rhodes,25.0,69,60.0,62.0
Melissa Diaz,19.0,37,72.0,36.0
Raymond Jacobson,19.0,62,71.0,59.0
Gregory Henderson,21.0,43,30.0,71.0
George Strickland,20.0,46,39.0,33.0
Michael Ortiz,19.0,53,40.0,31.0
Kyle Johnson,23.0,93,57.0,64.0
James Ward,25.0,51,91.0,63.0
Christine Murphy,20.0,57,99.0,73.0
Justin Schmitt,23.0,45,88.0,53.0
Melanie Mitchell,22.0,46,69.0,84.0
Michael Haynes,25.0,55,87.0,47.0
Kara Delgado,20.0,68,99.0,84.0
Joseph Gibbs,23.0,69,34.0,58.0
John Benjamin,21.0,51,85.0,52.0
Jessica Ramirez,22.0,89,60.0,50.0
Jeffery Durham,21.0,100,42.0,71.0
Melissa Frazier,24.0,43,50.0,68.0
Valerie Randolph,23.0,55,99.0,93.0
Wesley Benton,20.0,37,66.0,37.0
Mary Wright,22.0,63,82.0,74.0
Donna Richards,18.0,39,41.0,100.0
Catherine Cooper,23.0,81,55.0,39.0
Bradley Wright,24.0,67,84.0,52.0
Jamie Rivera,25.0,89,95.0,41.0
Wendy Williams,24.0,35,41.0,47.0
Alyssa Pineda,22.0,97,51.0,34.0
Roger Jones,23.0,45,54.0,57.0
Christopher Stewart,24.0,47,72.0,93.0
Justin Tran,22.0,72,73.0,37.0
Justin Adams,22.0,46,53.0,85.0
Jennifer Morris,22.0,42,50.0,91.0
Phillip Savage,25.0,89,60.0,76.0
Gary Ross,18.0,69,38.0,38.0
Michelle Hamilton,18.0,35,51.0,72.0
Karen Stein,22.0,98,60.0,56.0
Marc Delacruz,23.0,49,92.0,60.0
Kara Bush,25.0,71,87.0,50.0
Wendy Powell,20.0,67,69.0,58.0
Erica Hines,23.0,77,53.0,99.0
Andrea Campbell,21.0,39,56.0,69.0
Kyle Brown,18.0,79,96.0,74.0
Tamara Anthony,23.0,49,93.0,45.0
Douglas Wood,18.0,60,42.0,69.0
Joseph Moore,19.0,70,74.0,62.0
Gordon Smith,22.0,63,77.0,47.0
Todd Burton,18.0,47,65.0,40.0
Matthew Barber,22.0,30,63.0,59.0
Michael Miller,24.0,91,92.0,55.0
Douglas Brennan,18.0,100,40.0,62.0
Ricky Williams,18.0,95,62.0,35.0
Jesse Gibbs,23.0,80,69.0,41.0
Robert Johnson Jr.,20.0,69,51.0,91.0
Calvin Gomez Jr.,18.0,62,95.0,75.0
David Johnson,18.0,48,82.0,52.0
Wanda Howell,24.0,48,50.0,45.0
Katrina Castro,19.0,63,95.0,65.0
Desiree Taylor,22.0,70,65.0,54.0
Julia Simon,19.0,48,31.0,50.0
Laurie Johnson,25.0,55,32.0,56.0
Brandon Mays,18.0,70,76.0,67.0
Kent Andrade,20.0,51,30.0,46.0
Jordan Malone,24.0,54,70.0,38.0
Thomas Woods,22.0,90,37.0,42.0
Amy Collins,21.0,76,99.0,59.0
Jacob Brandt,18.0,41,53.0,46.0
Mark Smith,21.0,49,96.0,57.0
Amy Pham,20.0,96,41.0,59.0
Amanda Carroll,23.0,55,94.0,44.0
Rebecca Russell,22.0,58,35.0,73.0
Brian Brown,23.0,65,62.0,88.0
Christina Torres,19.0,60,72.0,30.0
Kayla King,24.0,45,59.0,70.0
Dawn Stanton,19.0,36,60.0,79.0
Ashley Davis,22.0,80,62.0,46.0
Matthew Rollins,19.0,87,80.0,51.0
Steven Savage,23.0,45,97.0,47.0
Ryan Rodriguez,18.0,73,93.0,72.0
Joy Olson,18.0,41,77.0,89.0
Robert Jenkins,25.0,42,94.0,45.0
Angela Watson,18.0,54,95.0,94.0
Cindy Lowery,20.0,74,41.0,32.0
Michael Jones,22.0,33,78.0,54.0
John Preston,21.0,30,76.0,59.0
Brittney Merritt,24.0,94,75.0,61.0
Scott Mitchell,18.0,56,73.0,40.0
Jeremy Torres,24.0,38,75.0,73.0
Joseph Griffin,19.0,77,30.0,50.0
Cindy Washington,24.0,48,71.0,38.0
Pamela Rhodes,20.0,70,74.0,44.0
Randy Mills,18.0,59,60.0,59.0
Lauren Brooks,19.0,69,97.0,35.0
Robert Green,24.0,92,97.0,59.0
Carol Walsh,18.0,48,83.0,98.0
Amber Schneider,24.0,71,54.0,80.0
Kevin Perez MD,18.0,47,40.0,94.0
Sherry Smith,25.0,42,66.0,62.0
James Fitzgerald,23.0,56,97.0,49.0
Aaron Tucker,18.0,52,63.0,75.0
Jennifer Ford,21.0,51,75.0,66.0
Amanda Miller,23.0,78,38.0,98.0
Bobby Mckinney,18.0,80,55.0,96.0
Carrie Medina,18.0,58,68.0,70.0
Brooke Davis,19.0,85,65.0,89.0
Jay Weber,21.0,47,79.0,35.0
Chloe Gentry,21.0,77,33.0,89.0
Erica Howard,19.0,68,34.0,78.0
Michael Reed,24.0,81,77.0,79.0
Charles Barnett,20.0,67,50.0,66.0
Victoria Graves,18.0,76,51.0,42.0
Dawn Tran,18.0,72,79.0,54.0
Randy Davis PhD,23.0,89,58.0,89.0
Christine Mcgee,24.0,54,83.0,78.0
Jessica Rodriguez,22.0,97,33.0,78.0
Pamela Daniels,23.0,51,37.0,88.0
Alexandra Abbott,24.0,53,81.0,51.0
Shelia Dalton,21.0,96,90.0,87.0
Chloe Adams,22.0,96,34.0,88.0
Haley Kim,19.0,98,97.0,81.0
Anne Walker,24.0,83,92.0,96.0
William Craig,18.0,70,72.0,45.0
Kristen Moore,25.0,46,35.0,94.0
James Woods,19.0,64,77.0,100.0
Lisa Fisher,25.0,35,79.0,99.0
Brandon Thompson,25.0,39,40.0,45.0
Tammy Wood,22.0,65,79.0,92.0
Amanda Anderson,22.0,75,52.0,99.0
Ruth Rocha,25.0,43,48.0,83.0
Patrick Garcia,25.0,67,66.0,45.0
Zoe Case,20.0,63,57.0,66.0
Ashley Montgomery,19.0,74,56.0,46.0
Michaela Shelton,22.0,90,67.0,40.0
Sarah Williams,23.0,64,85.0,99.0
Mary Weaver,20.0,63,64.0,32.0
Yvonne Kerr,20.0,86,51.0,67.0
Julie Whitney,18.0,65,64.0,47.0
Kyle Martinez,19.0,38,68.0,58.0
William Martin,22.0,71,97.0,93.0
Bonnie Watkins,19.0,68,100.0,57.0
Michael Ferguson,18.0,72,70.0,43.0
Amber Aguilar,18.0,35,60.0,85.0
Julie Lopez,21.0,100,74.0,51.0
John Hill,24.0,44,61.0,82.0
Katie Coleman,23.0,100,30.0,92.0
Ashley Green,23.0,65,36.0,33.0
Stephanie Cunningham,19.0,48,42.0,65.0
Sophia Davis,21.0,45,86.0,95.0
Dawn Torres,23.0,35,66.0,65.0
Philip Howe,23.0,67,74.0,62.0
Michael Whitaker,19.0,71,35.0,34.0
Todd Ayala,20.0,66,85.0,76.0
Mark Lozano,25.0,82,78.0,78.0
Christina Hernandez,25.0,67,99.0,52.0
Tara Henson,20.0,98,64.0,42.0
Adrienne Cuevas,19.0,36,100.0,77.0
Kevin Nelson,21.0,30,96.0,32.0
Carol Hall,18.0,47,41.0,53.0
Jessica Hill,20.0,36,57.0,31.0
Daniel James,23.0,46,84.0,54.0
Jennifer Black,24.0,83,57.0,52.0
Robert James,25.0,48,75.0,61.0
Melissa Pearson,25.0,47,61.0,92.0
Richard Avery,24.0,77,98.0,34.0
Stephen Conner,18.0,46,91.0,58.0
Tara Perry,20.0,96,79.0,55.0
Hannah Graham,18.0,68,30.0,69.0
Matthew Zhang,20.0,61,66.0,48.0
Alan Evans,19.0,93,50.0,91.0
Brian Hall,21.0,87,84.0,88.0
Chris Hill,25.0,59,51.0,84.0
Andrea Thomas,22.0,57,71.0,63.0
Nathan Simmons,25.0,68,99.0,35.0
Jesse Lewis,18.0,42,100.0,67.0
Jennifer Mathews,19.0,47,97.0,88.0
Scott Brandt,18.0,88,30.0,46.0
Jennifer Rios,20.0,57,71.0,98.0
Whitney Garcia,24.0,67,54.0,60.0
James Davidson,18.0,43,87.0,89.0
Deborah Gonzales,25.0,64,99.0,30.0
Sara Duke,18.0,36,40.0,38.0
Michael Andrade,23.0,89,88.0,80.0
Joseph Butler,25.0,87,38.0,69.0
Jennifer Phelps,19.0,85,63.0,85.0
Daniel Barrett,22.0,52,47.0,52.0
Jason Daniels,21.0,100,70.0,53.0
Jacqueline Bender,22.0,60,34.0,77.0
Jason Flores,18.0,62,97.0,97.0
Rebecca Garcia,22.0,52,99.0,93.0
Laura Larson,21.0,56,39.0,83.0
Stephen Moore,24.0,52,70.0,58.0
Mrs. Lori Whitney,23.0,83,31.0,56.0
Jeffrey May,20.0,40,87.0,43.0
Nicole Baker,24.0,56,65.0,38.0
David Bowman,23.0,66,96.0,58.0
Jamie Castillo,21.0,49,30.0,38.0
Kristina Lane,24.0,43,71.0,77.0
Eric Palmer,23.0,70,94.0,84.0
Richard Young,22.0,87,63.0,57.0
Jessica Walker,23.0,93,53.0,70.0
Ryan Edwards,20.0,90,64.0,30.0
Stephanie Adkins,22.0,94,36.0,97.0
Robert Frazier,18.0,38,44.0,86.0
Charles Rivera,25.0,41,53.0,42.0
Jill Baldwin,20.0,83,41.0,86.0
Joanne Moore,21.0,96,70.0,88.0
Joseph Ford,21.0,83,83.0,91.0
Levi Johns,18.0,33,33.0,70.0
Laura Glass,23.0,94,100.0,54.0
Ryan Stewart,20.0,89,38.0,64.0
Ashley Butler,19.0,32,50.0,56.0
Rhonda Holloway,19.0,82,54.0,40.0
Michaela Kim,22.0,62,65.0,59.0
Benjamin Stout PhD,23.0,93,63.0,30.0
Benjamin Downs,25.0,87,78.0,90.0
Steven Robertson,22.0,90,91.0,76.0
Meghan Greene,20.0,85,44.0,59.0
Ricardo Wilcox,19.0,94,61.0,72.0
Jeffery Torres,23.0,88,78.0,43.0
Katherine Long,25.0,41,53.0,54.0
Savannah Ramirez,24.0,68,49.0,98.0
Jeffrey Jones,22.0,53,56.0,91.0
Andrew Powell,24.0,65,74.0,37.0
Louis Sanchez,22.0,67,35.0,34.0
Jason Parker,23.0,96,98.0,48.0
Joanna Brown,21.0,52,54.0,51.0
Christopher Jackson,23.0,39,62.0,100.0
Jose Wagner,24.0,87,70.0,42.0
Robert Mcclure,20.0,70,94.0,81.0
Michael Clark,25.0,76,91.0,36.0
Leslie Hawkins,19.0,81,55.0,82.0
Cynthia Cherry,19.0,49,92.0,55.0
Kyle Ellis,22.0,43,89.0,92.0
James Mcguire,24.0,67,91.0,31.0
Elizabeth Glass,25.0,40,40.0,46.0
David Patel,22.0,91,94.0,44.0
Christopher Hogan,23.0,32,61.0,98.0
Jason Padilla,22.0,47,33.0,36.0
Vincent Cameron,22.0,53,86.0,38.0
Jennifer Moore,19.0,38,90.0,42.0
Julie Mayer,20.0,77,92.0,34.0
Jessica Reynolds,22.0,73,32.0,66.0
Alan York,22.0,39,71.0,59.0
Brandon Hopkins,25.0,88,44.0,31.0
Karen Vasquez,21.0,70,77.0,72.0
Jessica Kim,20.0,62,39.0,62.0
Sandra Khan,23.0,95,64.0,59.0
Brittany Cooper,22.0,51,89.0,69.0
Jonathan Turner,19.0,62,33.0,72.0
Jesus Stevens,25.0,91,46.0,56.0
Brittany Miller,25.0,74,94.0,60.0
Kathleen Martin,20.0,97,98.0,97.0
Kelly Smith,18.0,99,47.0,63.0
Bonnie Bryant,25.0,92,70.0,57.0
Malik Whitehead,20.0,54,39.0,30.0
Rachel Cunningham,19.0,41,75.0,78.0
Jacqueline Hill,24.0,51,75.0,30.0
Sierra Richardson,22.0,77,45.0,58.0
Molly Hayes,19.0,83,47.0,44.0
Kenneth Peck,19.0,81,52.0,67.0
Timothy Smith,22.0,47,43.0,49.0
Brian Roberts,21.0,95,33.0,53.0
Mackenzie Bridges,21.0,53,73.0,88.0
Francisco Short,24.0,57,80.0,46.0
Richard Johnson,23.0,34,96.0,73.0
Michael Thomas,24.0,50,77.0,99.0
Glenn Scott,19.0,77,91.0,69.0
Margaret Peterson,21.0,63,90.0,75.0
Tammy Gray,20.0,79,70.0,48.0
Jacob Hall,22.0,81,50.0,65.0
Randall Lucas,19.0,60,46.0,70.0
Eric Roberts,24.0,38,51.0,48.0
Timothy Yoder,18.0,93,72.0,35.0
Dean Clements,18.0,59,100.0,91.0
John Randall,22.0,66,84.0,32.0
Tim Chen,23.0,82,82.0,89.0
Warren Klein,25.0,32,75.0,64.0
Jason Le,20.0,86,64.0,50.0
Connor Martinez,19.0,88,58.0,75.0
Brittany Lopez,25.0,65,66.0,39.0
Jessica Johnston PhD,21.0,81,73.0,78.0
Jessica Hernandez,25.0,40,91.0,66.0
Natasha Hudson,20.0,49,34.0,38.0
Ashley Adams,18.0,42,53.0,67.0
Courtney Thomas,21.0,95,67.0,56.0
Heather Perez,24.0,86,36.0,48.0
Alexander Baldwin,22.0,86,40.0,72.0
Joseph Reyes,20.0,76,100.0,61.0
Victoria Webb,21.0,43,31.0,54.0
Michael Gonzales,20.0,49,42.0,46.0
Mary Andrade,22.0,91,94.0,64.0
Jose Garrett,21.0,72,34.0,62.0
Jeremy Mclean,18.0,63,86.0,69.0
David Peck,22.0,65,47.0,94.0
Frederick English,24.0,81,35.0,67.0
John Pollard,25.0,33,39.0,38.0
Angela Smith,23.0,58,93.0,55.0
Andrea Jones,25.0,85,52.0,40.0
Theresa Bell,23.0,33,99.0,40.0
Dr. Benjamin Martinez DDS,19.0,31,68.0,48.0
Deborah Brock,25.0,72,33.0,79.0
Karina Bailey,18.0,52,50.0,61.0
John Smith,22.0,44,55.0,97.0
Victoria Mcdonald,25.0,48,61.0,62.0
Jessica Cunningham,19.0,95,73.0,78.0
Daniel Wilson,19.0,94,62.0,87.0
Jennifer Smith,21.0,88,76.0,73.0
Eddie Martin,18.0,92,32.0,49.0
Isabel Weber,24.0,84,30.0,86.0
Amber Williams,22.0,50,96.0,40.0
Linda Beck,24.0,31,44.0,98.0
Chad Paul,19.0,61,60.0,53.0
Wendy Fleming,25.0,56,77.0,94.0
Heather Freeman,20.0,33,62.0,40.0
Michelle Hughes,21.0,57,94.0,59.0
John Smith,22.0,60,82.0,76.0
Brianna Johns,18.0,45,63.0,45.0
Megan Roberts,25.0,72,50.0,34.0
Jason Sweeney,24.0,64,56.0,89.0
Timothy Patterson,24.0,33,60.0,45.0
Timothy Morales,20.0,58,53.0,80.0
Jodi Frost,21.0,40,86.0,82.0
Amanda Larsen,18.0,30,35.0,52.0
Matthew Hamilton,18.0,31,95.0,69.0
David Thompson,23.0,54,95.0,38.0
Crystal Zimmerman,24.0,93,39.0,71.0
Carolyn Wells,25.0,35,37.0,96.0
Mike Mueller,20.0,90,57.0,82.0
Kimberly Cruz,18.0,93,49.0,65.0
Austin Jones,23.0,79,58.0,61.0
Natasha Simpson,18.0,41,80.0,77.0
Janice Alvarado,24.0,38,76.0,64.0
Dylan Carter,18.0,90,64.0,66.0
Timothy Fleming,25.0,63,93.0,79.0
Connor Jackson,23.0,51,97.0,53.0
Mary Odom,23.0,98,80.0,95.0
Sierra Leonard,18.0,84,44.0,60.0
Alexis Sanders,20.0,52,57.0,96.0
Derrick Sexton,25.0,58,44.0,98.0
Emily Newton,25.0,40,95.0,58.0
Bob Williams,20.0,33,53.0,38.0
Jonathan Lee,23.0,49,89.0,94.0
Mike Leonard,23.0,72,63.0,45.0
Curtis Adams,18.0,87,87.0,100.0
Brian Scott,19.0,40,54.0,81.0
Richard Nelson,18.0,36,48.0,93.0
Michelle Jensen,23.0,82,90.0,42.0
Jacob Church,22.0,65,100.0,97.0
Paul Lowe,22.0,79,59.0,79.0
Calvin Johnson,21.0,89,99.0,53.0
Charles Carter,21.0,87,33.0,76.0
Omar Baker,23.0,88,72.0,80.0
Christopher Christensen,22.0,51,35.0,99.0
Katherine Love,25.0,80,63.0,32.0
Nicole Bell,20.0,59,59.0,61.0
Matthew Gallegos,20.0,78,83.0,90.0
Brian Higgins,22.0,70,56.0,75.0
Micheal Everett,25.0,53,95.0,40.0
William Lang,22.0,34,39.0,47.0
Curtis Morris,19.0,86,60.0,67.0
William Ramirez,23.0,95,45.0,72.0
Isabella Murray,24.0,38,45.0,98.0
Kimberly Phelps MD,18.0,83,57.0,40.0
Joseph Graham,21.0,32,99.0,92.0
Vanessa Schultz,20.0,35,58.0,97.0
Renee Williams,23.0,35,98.0,92.0
Tamara Collins,23.0,79,59.0,55.0
Alison Johnson,18.0,69,96.0,33.0
Christina Hatfield,25.0,60,39.0,76.0
Jessica Quinn,22.0,36,64.0,66.0
Julie Burns,22.0,40,95.0,55.0
Elijah Johnson,18.0,51,77.0,84.0
Adam Mathews,22.0,69,55.0,86.0
Ryan Rodriguez,21.0,97,35.0,65.0
Stephanie Peterson,19.0,55,76.0,90.0
Kyle Cole,23.0,98,88.0,93.0
Alexis Campos,19.0,32,99.0,62.0
Drew Welch,18.0,42,90.0,59.0
Ryan Johnson,18.0,39,81.0,53.0
Katelyn Harris,23.0,57,30.0,47.0
Amanda Jennings,22.0,71,100.0,85.0
Janice Oliver,23.0,39,98.0,82.0
Kari Gonzales,23.0,67,47.0,41.0
John Thompson,19.0,97,97.0,48.0
Jeffrey Burgess,24.0,54,90.0,93.0
Amanda Gonzalez,18.0,49,51.0,53.0
Alyssa Gray,21.0,87,92.0,59.0
Jamie Jennings,23.0,83,57.0,83.0
Richard Navarro,18.0,39,58.0,89.0
Douglas Booth,22.0,77,64.0,70.0
David Clark,20.0,69,51.0,30.0
Diane Campbell,21.0,46,62.0,47.0
Kimberly Richardson,25.0,88,48.0,51.0
Todd Thornton,24.0,50,85.0,79.0
Michael Lopez,19.0,98,97.0,82.0
Traci Williams,23.0,90,37.0,52.0
Derrick King,22.0,82,95.0,69.0
Mr. Timothy Stanley,22.0,70,47.0,79.0
Jon Stephenson,21.0,65,89.0,44.0
Patricia Lawson,24.0,60,63.0,52.0
Robert Mcclain,23.0,78,35.0,78.0
Cody Travis,24.0,75,98.0,66.0
James Thomas,22.0,90,39.0,66.0
Linda Lawrence,18.0,96,46.0,64.0
Shawna Harrison,22.0,39,34.0,33.0
Jennifer Simpson,18.0,36,43.0,54.0
Danielle Foster,19.0,45,67.0,64.0
Micheal Carney,19.0,40,98.0,100.0
Douglas Chapman,24.0,97,32.0,93.0
Adrienne Salazar,25.0,58,88.0,55.0
Jacob Zamora,18.0,47,41.0,98.0
Christopher Marsh,19.0,58,96.0,79.0
